graph_size (n),density,edge_count,algorithm,trial,max_flow_result,solve_time,setup_time,total_time
20,0.1,38,Edmonds-Karp,2,14,2.8500000553322025e-05,1.759999940986745e-05,4.6099999963189475e-05
20,0.1,38,cplex,3,35.0,0.0005915000001550652,0.0071238000000448665,0.007715300000199932
20,0.1,38,ford-fulkerson,3,35,0.00012889999925391749,1.8999999156221747e-05,0.00014789999841013923
20,0.1,38,Edmonds-Karp,3,35,5.250000140222255e-05,1.6299998605973087e-05,6.880000000819564e-05
20,0.1,38,cplex,4,22.0,0.0006016000006638933,0.007416299999022158,0.008017899999686051
20,0.1,38,ford-fulkerson,4,22,6.70000008540228e-05,2.2899999748915434e-05,8.990000060293823e-05
20,0.1,38,Edmonds-Karp,4,22,4.260000059730373e-05,2.9599999834317714e-05,7.220000043162145e-05
20,0.1,38,cplex,5,1.0,0.0006048000013834098,0.007641600001079496,0.008246400002462906
20,0.1,38,ford-fulkerson,5,1,2.7200001568417065e-05,1.9999999494757503e-05,4.720000106317457e-05
20,0.1,38,Edmonds-Karp,5,1,1.900000097521115e-05,1.559999873279594e-05,3.459999970800709e-05
20,0.3,114,cplex,1,51.0,0.0007533999996667262,0.008585399998992216,0.009338799998658942
20,0.3,114,ford-fulkerson,1,51,0.0003448999996180646,5.2999999752501026e-05,0.00039789999937056564
20,0.3,114,Edmonds-Karp,1,51,0.00010069999916595407,4.0899998566601425e-05,0.0001415999977325555
20,0.3,114,cplex,2,73.0,0.0007599999989906792,0.008827899999232613,0.009587899998223293
20,0.3,114,ford-fulkerson,2,73,0.0007900999989942648,4.9199999921256676e-05,0.0008392999989155214
20,0.3,114,Edmonds-Karp,2,73,0.00013209999997343402,4.579999949783087e-05,0.0001778999994712649
20,0.3,114,cplex,3,37.0,0.0007357000013143988,0.01053700000011304,0.011272700001427438
20,0.3,114,ford-fulkerson,3,37,0.00032670000109646935,4.690000059781596e-05,0.0003736000016942853
20,0.3,114,Edmonds-Karp,3,37,0.00012380000043776818,4.010000156995375e-05,0.00016390000200772192
20,0.3,114,cplex,4,33.0,0.0007507999998779269,0.008898199999748613,0.00964899999962654
20,0.3,114,ford-fulkerson,4,33,0.00022900000112713315,4.9500000386615284e-05,0.00027850000151374843
20,0.3,114,Edmonds-Karp,4,33,4.670000089390669e-05,4.140000055485871e-05,8.81000014487654e-05
